CuisineName,CuisineImageLink
Japanese,https://www.wallpaperup.com/uploads/wallpapers/2015/06/14/722462/big_thumb_c9e08b4db33c9a9c0d38863dcf092cc1.jpg
Korean,https://missconfig.files.wordpress.com/2015/05/samgyupsal.jpg
Mediterranean,https://los-angeles.eat24hours.com/files/cuisines/v4/mediterranean.jpg
American,http://draftmag.com/new/wp-content/uploads/2011/09/08.Taste04.jpg
Cajun,http://food.fnr.sndimg.com/content/dam/images/food/fullset/2014/3/7/1/FNM_040114-Jambalaya-Recipe-h_s4x3.jpg.rend.hgtvcom.616.462.suffix/1394482977439.jpeg
Greek,http://travellerstree.net/2014/08/29/greek-food/
Indian,https://fthmb.tqn.com/Xa3lEBeDl4lvm_P04BJi-iNRQ2g=/960x0/filters:no_upscale()/309291-001-56a510423df78cf772862aea.jpg
Mexican,https://i0.wp.com/scng-dash.digitalfirstmedia.com/wp-content/uploads/2017/07/0720_fea_ocr-l-fomexican-43.jpg?w=620&crop=0%2C0px%2C100%2C9999px&ssl=1
Thai,https://kex-khaolakexplorer.netdna-ssl.com/similan-islands-liveaboard/wp-content/uploads/2016/10/Thai-Food.jpg
Vietnamese,https://north-vietnam.com/wp-content/uploads/2015/03/vietnam-food-pho-bo1.jpg
Italian,https://www.deliverywow.com/order-food-online/images/main-photo-chicago-italian-food-delivery.jpg
Chinese,https://img.huffingtonpost.com/asset/585be1aa1600002400bdf2a6.jpeg?ops=scalefit_970_noupscale
